candle_idx,timestamp,sweep_type,bias,swing_price,close_price,rsi,regime,entry_price,exit_price,mfe_pct,mae_pct,outcome
4085,2025-10-27 08:00:00+00:00,HIGH,BEARISH,115542.0,115351.41,86.24533189785683,TRENDING_UP,115351.41,113687.51,1.6194600482126806,0.6612142842467216,CORRECT
4106,2025-10-30 20:00:00+00:00,LOW,BULLISH,107924.01,108308.18,28.518356673013216,RANGING,108308.18,110016.68,2.546363534130121,0.03884286486947933,CORRECT
4107,2025-10-31 00:00:00+00:00,LOW,BULLISH,109000.0,109201.98,34.721133166245025,RANGING,109201.98,110065.37,1.707038645269994,0.6299427904145959,CORRECT
4148,2025-11-06 20:00:00+00:00,LOW,BULLISH,101157.77,101290.5,39.953275572547135,TRENDING_DOWN,101290.5,102295.78,2.716434413888771,2.0934835942166345,CORRECT
4151,2025-11-07 08:00:00+00:00,LOW,BULLISH,100235.02,100350.26,37.64602917522389,TRENDING_DOWN,100350.26,101950.03,3.678844479326721,1.1761404504582198,CORRECT
4202,2025-11-15 20:00:00+00:00,LOW,BULLISH,95500.0,95544.94,28.99840003240432,TRENDING_DOWN,95544.94,95569.51,1.0619819322718693,2.7223942994783403,CORRECT
4207,2025-11-16 16:00:00+00:00,LOW,BULLISH,93951.32,93976.0,38.25379673599913,TRENDING_DOWN,93976.0,90735.92,2.1005363071422494,4.683099940410322,WRONG
4298,2025-12-01 20:00:00+00:00,LOW,BULLISH,85595.76,86282.36,25.925666815914013,RANGING,86282.36,93026.22,8.919749065741826,0.11703435093800856,CORRECT
4311,2025-12-04 00:00:00+00:00,HIGH,BEARISH,93978.53,93552.18,88.6991695823232,RANGING,93552.18,91371.57,2.8299180200824794,0.09556164271106107,CORRECT
4328,2025-12-06 20:00:00+00:00,LOW,BULLISH,89174.7,89267.97,15.217111100733575,RANGING,89267.97,91571.36,2.9407860400544483,1.7193064880942273,CORRECT
4332,2025-12-07 12:00:00+00:00,LOW,BULLISH,88099.05,89552.0,25.25311371481942,RANGING,89552.0,90653.86,3.0596301590137647,0.6562220832588926,CORRECT
